np,omp_threads,mode,grid,iters,repeat,runtime_s
4,4,encrypt,512,500,1,0.122000
4,4,decrypt,512,500,1,0.115643
4,4,encrypt,512,1000,1,0.215723
4,4,decrypt,512,1000,1,0.228651
4,4,encrypt,512,2000,1,0.391971
4,4,decrypt,512,2000,1,0.385408
4,4,encrypt,1024,500,1,0.298155
4,4,decrypt,1024,500,1,0.282261
4,4,encrypt,1024,1000,1,0.549381
4,4,decrypt,1024,1000,1,0.539189
4,4,encrypt,1024,2000,1,1.078152
4,4,decrypt,1024,2000,1,1.149033
4,6,encrypt,64,500,1,0.056067
4,6,decrypt,64,500,1,0.056363
4,6,encrypt,64,1000,1,0.105887
4,6,decrypt,64,1000,1,0.104153
4,6,encrypt,64,2000,1,0.201418
4,6,decrypt,64,2000,1,0.198484
4,6,encrypt,128,500,1,0.057461
4,6,decrypt,128,500,1,0.060688
4,6,encrypt,128,1000,1,0.108737
4,6,decrypt,128,1000,1,0.103793
4,6,encrypt,128,2000,1,0.204883
4,6,decrypt,128,2000,1,0.200172
4,6,encrypt,256,500,1,0.066049
4,6,decrypt,256,500,1,0.063066
4,6,encrypt,256,1000,1,0.121123
4,6,decrypt,256,1000,1,0.121111
4,6,encrypt,256,2000,1,0.229333
4,6,decrypt,256,2000,1,0.218057
4,6,encrypt,512,500,1,0.130584
4,6,decrypt,512,500,1,0.129638
4,6,encrypt,512,1000,1,0.227152
4,6,decrypt,512,1000,1,0.225926
4,6,encrypt,512,2000,1,0.421011
4,6,decrypt,512,2000,1,0.412442
4,6,encrypt,1024,500,1,0.297557
4,6,decrypt,1024,500,1,0.289479
4,6,encrypt,1024,1000,1,0.620719
4,6,decrypt,1024,1000,1,0.555941
4,6,encrypt,1024,2000,1,1.110627
4,6,decrypt,1024,2000,1,1.100244
4,8,encrypt,64,500,1,0.072660
4,8,decrypt,64,500,1,0.069651
4,8,encrypt,64,1000,1,0.128869
4,8,decrypt,64,1000,1,0.126816
4,8,encrypt,64,2000,1,0.252671
4,8,decrypt,64,2000,1,0.253610
4,8,encrypt,128,500,1,0.070200
4,8,decrypt,128,500,1,0.070962
4,8,encrypt,128,1000,1,0.133402
4,8,decrypt,128,1000,1,0.131680
4,8,encrypt,128,2000,1,0.260184
4,8,decrypt,128,2000,1,0.261635
4,8,encrypt,256,500,1,0.079863
4,8,decrypt,256,500,1,0.075434
4,8,encrypt,256,1000,1,0.142215
4,8,decrypt,256,1000,1,0.145020
4,8,encrypt,256,2000,1,0.273427
4,8,decrypt,256,2000,1,0.280802
4,8,encrypt,512,500,1,0.152130
4,8,decrypt,512,500,1,0.142967
4,8,encrypt,512,1000,1,0.269818
4,8,decrypt,512,1000,1,0.234397
4,8,encrypt,512,2000,1,0.460832
4,8,decrypt,512,2000,1,0.480858
4,8,encrypt,1024,500,1,0.293307
4,8,decrypt,1024,500,1,0.282539
4,8,encrypt,1024,1000,1,0.558838
4,8,decrypt,1024,1000,1,0.559353
4,8,encrypt,1024,2000,1,1.089835
4,8,decrypt,1024,2000,1,1.138803
4,10,encrypt,64,500,1,0.084588
4,10,decrypt,64,500,1,0.084097
4,10,encrypt,64,1000,1,0.158304
4,10,decrypt,64,1000,1,0.157870
4,10,encrypt,64,2000,1,0.309099
4,10,decrypt,64,2000,1,0.306135
4,10,encrypt,128,500,1,0.086814
4,10,decrypt,128,500,1,0.083021
